id,bugfix_analytics_product_category_id/id,bugfix_analytics_warehouse_id/id
Jinasena_MasterData_Accounting.account_analytic_account_repair_ekala,,Jinasena_MasterData_Stock.stock_warehouse_repairs_warehouse_rp_jm
Jinasena_MasterData_Accounting.account_analytic_account_sales_centers,,Jinasena_MasterData_Stock.stock_warehouse_jam_warehouse_ekala_jm_ek
Jinasena_MasterData_Accounting.account_analytic_account_ampara_sc,,Jinasena_MasterData_Stock.stock_warehouse_branch_warehouse_ampara
Jinasena_MasterData_Accounting.account_analytic_account_apura_sc,,Jinasena_MasterData_Stock.stock_warehouse_jam_warehouse_ekala_jm_ek
Jinasena_MasterData_Accounting.account_analytic_account_berwala_sc,,Jinasena_MasterData_Stock.stock_warehouse_retail_sales_counter_sp_sp_rc
Jinasena_MasterData_Accounting.account_analytic_account_ekala_sc_7072,,Jinasena_MasterData_Stock.stock_warehouse_jam_warehouse_ekala_jm_ek
Jinasena_MasterData_Accounting.account_analytic_account_ekala_sc_7523,,Jinasena_MasterData_Stock.stock_warehouse_repairs_warehouse_rp_jm
Jinasena_MasterData_Accounting.account_analytic_account_fg_th_20,Jinasena_MasterData_Stock.product_category_fg_th_20_1850,
Jinasena_MasterData_Accounting.account_analytic_account_rm_ge_02_7174,Jinasena_MasterData_Stock.product_category_rm_ge_02_jam,
Jinasena_MasterData_Accounting.account_analytic_account_rm_ge_02_jam,Jinasena_MasterData_Stock.product_category_rm_ge_02_jam,
Jinasena_MasterData_Accounting.account_analytic_account_rm_ge_29_7199,Jinasena_MasterData_Stock.product_category_rm_ge_02_jam,
Jinasena_MasterData_Accounting.account_analytic_account_rm_sp_ss,Jinasena_MasterData_Stock.product_category_rm_sp_ss_jam,
Jinasena_MasterData_Accounting.account_analytic_account_01bc_030_wire_wheel_brush_150x30mm,Jinasena_MasterData_Stock.product_category_01bc_030_wire_wheel_brush_150x30mm,
