id,location_id/id
Jinasena_MasterData_Stock.stock_location_intransit,Jinasena_MasterData_Stock.stock_location_br_am
Jinasena_MasterData_Stock.stock_location_intransit_1049,Jinasena_MasterData_Stock.stock_location_br_am_767
Jinasena_MasterData_Stock.stock_location_repair,Jinasena_MasterData_Stock.stock_location_br_am
Jinasena_MasterData_Stock.stock_location_repair_1109,Jinasena_MasterData_Stock.stock_location_br_am_767
Jinasena_MasterData_Stock.stock_location_stock,Jinasena_MasterData_Stock.stock_location_br_am
Jinasena_MasterData_Stock.stock_location_stock_768,Jinasena_MasterData_Stock.stock_location_br_am_767
Jinasena_MasterData_Stock.stock_location_intransit_1050,Jinasena_MasterData_Stock.stock_location_br_an_775
Jinasena_MasterData_Stock.stock_location_intransit_1071,Jinasena_MasterData_Stock.stock_location_br_an
Jinasena_MasterData_Stock.stock_location_repair_1110,Jinasena_MasterData_Stock.stock_location_br_an_775
Jinasena_MasterData_Stock.stock_location_repair_1132,Jinasena_MasterData_Stock.stock_location_br_an
Jinasena_MasterData_Stock.stock_location_stock_158,Jinasena_MasterData_Stock.stock_location_br_an
Jinasena_MasterData_Stock.stock_location_stock_776,Jinasena_MasterData_Stock.stock_location_br_an_775
Jinasena_MasterData_Stock.stock_location_intransit_1051,Jinasena_MasterData_Stock.stock_location_br_av
Jinasena_MasterData_Stock.stock_location_repair_1111,Jinasena_MasterData_Stock.stock_location_br_av
Jinasena_MasterData_Stock.stock_location_stock_784,Jinasena_MasterData_Stock.stock_location_br_av
Jinasena_MasterData_Stock.stock_location_intransit_1052,Jinasena_MasterData_Stock.stock_location_br_ba
Jinasena_MasterData_Stock.stock_location_repair_1112,Jinasena_MasterData_Stock.stock_location_br_ba
Jinasena_MasterData_Stock.stock_location_stock_792,Jinasena_MasterData_Stock.stock_location_br_ba
Jinasena_MasterData_Stock.stock_location_intransit_1053,Jinasena_MasterData_Stock.stock_location_br_be
Jinasena_MasterData_Stock.stock_location_repair_1113,Jinasena_MasterData_Stock.stock_location_br_be
Jinasena_MasterData_Stock.stock_location_stock_800,Jinasena_MasterData_Stock.stock_location_br_be
Jinasena_MasterData_Stock.stock_location_intransit_1054,Jinasena_MasterData_Stock.stock_location_br_bu
Jinasena_MasterData_Stock.stock_location_repair_1114,Jinasena_MasterData_Stock.stock_location_br_bu
Jinasena_MasterData_Stock.stock_location_stock_808,Jinasena_MasterData_Stock.stock_location_br_bu
Jinasena_MasterData_Stock.stock_location_intransit_1055,Jinasena_MasterData_Stock.stock_location_br_da
Jinasena_MasterData_Stock.stock_location_repair_1115,Jinasena_MasterData_Stock.stock_location_br_da
Jinasena_MasterData_Stock.stock_location_stock_816,Jinasena_MasterData_Stock.stock_location_br_da
Jinasena_MasterData_Stock.stock_location_intransit_1031,Jinasena_MasterData_Stock.stock_location_br_ek_526
Jinasena_MasterData_Stock.stock_location_intransit_1076,Jinasena_MasterData_Stock.stock_location_br_ek
Jinasena_MasterData_Stock.stock_location_repair_1091,Jinasena_MasterData_Stock.stock_location_br_ek_526
Jinasena_MasterData_Stock.stock_location_repair_1137,Jinasena_MasterData_Stock.stock_location_br_ek
Jinasena_MasterData_Stock.stock_location_stock_353,Jinasena_MasterData_Stock.stock_location_br_ek
Jinasena_MasterData_Stock.stock_location_stock_527,Jinasena_MasterData_Stock.stock_location_br_ek_526
Jinasena_MasterData_Stock.stock_location_transit,Jinasena_MasterData_Stock.stock_location_br_ek_526
Jinasena_MasterData_Stock.stock_location_intransit_1056,Jinasena_MasterData_Stock.stock_location_br_em
Jinasena_MasterData_Stock.stock_location_repair_1116,Jinasena_MasterData_Stock.stock_location_br_em
Jinasena_MasterData_Stock.stock_location_stock_824,Jinasena_MasterData_Stock.stock_location_br_em
Jinasena_MasterData_Stock.stock_location_intransit_1057,Jinasena_MasterData_Stock.stock_location_br_ga
Jinasena_MasterData_Stock.stock_location_repair_1117,Jinasena_MasterData_Stock.stock_location_br_ga
Jinasena_MasterData_Stock.stock_location_stock_832,Jinasena_MasterData_Stock.stock_location_br_ga
Jinasena_MasterData_Stock.stock_location_intransit_1058,Jinasena_MasterData_Stock.stock_location_br_gk
Jinasena_MasterData_Stock.stock_location_repair_1118,Jinasena_MasterData_Stock.stock_location_br_gk
Jinasena_MasterData_Stock.stock_location_stock_840,Jinasena_MasterData_Stock.stock_location_br_gk
Jinasena_MasterData_Stock.stock_location_intransit_1059,Jinasena_MasterData_Stock.stock_location_br_jf
Jinasena_MasterData_Stock.stock_location_repair_1119,Jinasena_MasterData_Stock.stock_location_br_jf
Jinasena_MasterData_Stock.stock_location_stock_848,Jinasena_MasterData_Stock.stock_location_br_jf
Jinasena_MasterData_Stock.stock_location_intransit_1060,Jinasena_MasterData_Stock.stock_location_br_ka
Jinasena_MasterData_Stock.stock_location_repair_1120,Jinasena_MasterData_Stock.stock_location_br_ka
Jinasena_MasterData_Stock.stock_location_stock_856,Jinasena_MasterData_Stock.stock_location_br_ka
Jinasena_MasterData_Stock.stock_location_intransit_1061,Jinasena_MasterData_Stock.stock_location_br_kd
Jinasena_MasterData_Stock.stock_location_repair_1121,Jinasena_MasterData_Stock.stock_location_br_kd
Jinasena_MasterData_Stock.stock_location_stock_864,Jinasena_MasterData_Stock.stock_location_br_kd
Jinasena_MasterData_Stock.stock_location_intransit_1062,Jinasena_MasterData_Stock.stock_location_br_ku
Jinasena_MasterData_Stock.stock_location_repair_1122,Jinasena_MasterData_Stock.stock_location_br_ku
Jinasena_MasterData_Stock.stock_location_stock_872,Jinasena_MasterData_Stock.stock_location_br_ku
Jinasena_MasterData_Stock.stock_location_intransit_1018,Jinasena_MasterData_Stock.stock_location_br_ne
Jinasena_MasterData_Stock.stock_location_repair_1123,Jinasena_MasterData_Stock.stock_location_br_ne
Jinasena_MasterData_Stock.stock_location_stock_880,Jinasena_MasterData_Stock.stock_location_br_ne
Jinasena_MasterData_Stock.stock_location_intransit_1063,Jinasena_MasterData_Stock.stock_location_br_th
Jinasena_MasterData_Stock.stock_location_repair_1124,Jinasena_MasterData_Stock.stock_location_br_th
Jinasena_MasterData_Stock.stock_location_stock_888,Jinasena_MasterData_Stock.stock_location_br_th
Jinasena_MasterData_Stock.stock_location_intransit_1020,Jinasena_MasterData_Stock.stock_location_cw_cm
Jinasena_MasterData_Stock.stock_location_repair_1080,Jinasena_MasterData_Stock.stock_location_cw_cm
Jinasena_MasterData_Stock.stock_location_stock_76,Jinasena_MasterData_Stock.stock_location_cw_cm
Jinasena_MasterData_Stock.stock_location_stock_974,Jinasena_MasterData_Stock.stock_location_ib_em
Jinasena_MasterData_Stock.stock_location_stock_952,Jinasena_MasterData_Stock.stock_location_iw_jm
Jinasena_MasterData_Stock.stock_location_defective,Jinasena_MasterData_Stock.stock_location_jm_ek
Jinasena_MasterData_Stock.stock_location_intransit_1046,Jinasena_MasterData_Stock.stock_location_jm_ek
Jinasena_MasterData_Stock.stock_location_repair_1106,Jinasena_MasterData_Stock.stock_location_jm_ek
Jinasena_MasterData_Stock.stock_location_stock_735,Jinasena_MasterData_Stock.stock_location_jm_ek
Jinasena_MasterData_Stock.stock_location_intransit_1068,Jinasena_MasterData_Stock.stock_location_jm_nm
Jinasena_MasterData_Stock.stock_location_repair_1129,Jinasena_MasterData_Stock.stock_location_jm_nm
Jinasena_MasterData_Stock.stock_location_stock_944,Jinasena_MasterData_Stock.stock_location_jm_nm
Jinasena_MasterData_Stock.stock_location_intransit_1021,Jinasena_MasterData_Stock.stock_location_mw_cm
Jinasena_MasterData_Stock.stock_location_repair_1081,Jinasena_MasterData_Stock.stock_location_mw_cm
Jinasena_MasterData_Stock.stock_location_stock_84,Jinasena_MasterData_Stock.stock_location_mw_cm
Jinasena_MasterData_Stock.stock_location_transit_207,Jinasena_MasterData_Stock.stock_location_mw_cm
Jinasena_MasterData_Stock.stock_location_finishgood,Jinasena_MasterData_Stock.stock_location_mw_ek
Jinasena_MasterData_Stock.stock_location_intransit_1073,Jinasena_MasterData_Stock.stock_location_mw_ek
Jinasena_MasterData_Stock.stock_location_repair_1134,Jinasena_MasterData_Stock.stock_location_mw_ek
Jinasena_MasterData_Stock.stock_location_stock_183,Jinasena_MasterData_Stock.stock_location_mw_ek
Jinasena_MasterData_Stock.stock_location_transit_208,Jinasena_MasterData_Stock.stock_location_mw_ek
Jinasena_MasterData_Stock.stock_location_finishgood_460,Jinasena_MasterData_Stock.stock_location_mw_jc
Jinasena_MasterData_Stock.stock_location_intransit_1074,Jinasena_MasterData_Stock.stock_location_mw_jc
Jinasena_MasterData_Stock.stock_location_repair_1135,Jinasena_MasterData_Stock.stock_location_mw_jc
Jinasena_MasterData_Stock.stock_location_stock_223,Jinasena_MasterData_Stock.stock_location_mw_jc
Jinasena_MasterData_Stock.stock_location_intransit_1028,Jinasena_MasterData_Stock.stock_location_mw_je
Jinasena_MasterData_Stock.stock_location_repair_1088,Jinasena_MasterData_Stock.stock_location_mw_je
Jinasena_MasterData_Stock.stock_location_stock_444,Jinasena_MasterData_Stock.stock_location_mw_je
Jinasena_MasterData_Stock.stock_location_intransit_1022,Jinasena_MasterData_Stock.stock_location_ow_ek
Jinasena_MasterData_Stock.stock_location_repair_1082,Jinasena_MasterData_Stock.stock_location_ow_ek
Jinasena_MasterData_Stock.stock_location_stock_92,Jinasena_MasterData_Stock.stock_location_ow_ek
Jinasena_MasterData_Stock.stock_location_transit_210,Jinasena_MasterData_Stock.stock_location_ow_ek
Jinasena_MasterData_Stock.stock_location_intransit_1078,Jinasena_MasterData_Stock.stock_location_pj_ei
Jinasena_MasterData_Stock.stock_location_repair_1139,Jinasena_MasterData_Stock.stock_location_pj_ei
Jinasena_MasterData_Stock.stock_location_stock_369,Jinasena_MasterData_Stock.stock_location_pj_ei
Jinasena_MasterData_Stock.stock_location_intransit_1048,Jinasena_MasterData_Stock.stock_location_pl_ek
Jinasena_MasterData_Stock.stock_location_repair_1108,Jinasena_MasterData_Stock.stock_location_pl_ek
Jinasena_MasterData_Stock.stock_location_stock_759,Jinasena_MasterData_Stock.stock_location_pl_ek
Jinasena_MasterData_Stock.stock_location_dismantle,Jinasena_MasterData_Stock.stock_location_pw_e1
Jinasena_MasterData_Stock.stock_location_finishgood_451,Jinasena_MasterData_Stock.stock_location_pw_e1
Jinasena_MasterData_Stock.stock_location_intransit_1026,Jinasena_MasterData_Stock.stock_location_pw_e1
Jinasena_MasterData_Stock.stock_location_repair_1086,Jinasena_MasterData_Stock.stock_location_pw_e1
Jinasena_MasterData_Stock.stock_location_stock_132,Jinasena_MasterData_Stock.stock_location_pw_e1
Jinasena_MasterData_Stock.stock_location_transit_213,Jinasena_MasterData_Stock.stock_location_pw_e1
Jinasena_MasterData_Stock.stock_location_intransit_1023,Jinasena_MasterData_Stock.stock_location_pw_je
Jinasena_MasterData_Stock.stock_location_repair_1083,Jinasena_MasterData_Stock.stock_location_pw_je
Jinasena_MasterData_Stock.stock_location_stock_116,Jinasena_MasterData_Stock.stock_location_pw_je
Jinasena_MasterData_Stock.stock_location_transit_212,Jinasena_MasterData_Stock.stock_location_pw_je
Jinasena_MasterData_Stock.stock_location_17720,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_defective_664,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_dismant_2,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_dismant_3,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_intransit_1029,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_repair_1089,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_stock_511,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_th1_t,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_transit_666,Jinasena_MasterData_Stock.stock_location_pw_jm
Jinasena_MasterData_Stock.stock_location_intransit_1047,Jinasena_MasterData_Stock.stock_location_pw_ma
Jinasena_MasterData_Stock.stock_location_repair_1107,Jinasena_MasterData_Stock.stock_location_pw_ma
Jinasena_MasterData_Stock.stock_location_stock_751,Jinasena_MasterData_Stock.stock_location_pw_ma
Jinasena_MasterData_Stock.stock_location_intransit_1024,Jinasena_MasterData_Stock.stock_location_pw_mw
Jinasena_MasterData_Stock.stock_location_repair_1084,Jinasena_MasterData_Stock.stock_location_pw_mw
