id,return_picking_type_id/id
Jinasena_MasterData_Stock.stock_picking_type_consignment_wh_cg,Jinasena_MasterData_Stock.stock_picking_type_returns_332
Jinasena_MasterData_Stock.stock_picking_type_receipts,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders,Jinasena_MasterData_Stock.stock_picking_type_receipts
Jinasena_MasterData_Stock.stock_picking_type_receipts_82,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_83
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_83,Jinasena_MasterData_Stock.stock_picking_type_receipts_82
Jinasena_MasterData_Stock.stock_picking_type_receipts_91,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_92
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_92,Jinasena_MasterData_Stock.stock_picking_type_receipts_91
Jinasena_MasterData_Stock.stock_picking_type_receipts_100,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_101
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_101,Jinasena_MasterData_Stock.stock_picking_type_receipts_100
Jinasena_MasterData_Stock.stock_picking_type_receipts_118,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_119
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_119,Jinasena_MasterData_Stock.stock_picking_type_receipts_118
Jinasena_MasterData_Stock.stock_picking_type_receipts_127,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_128
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_128,Jinasena_MasterData_Stock.stock_picking_type_receipts_127
Jinasena_MasterData_Stock.stock_picking_type_receipts_136,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_137
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_137,Jinasena_MasterData_Stock.stock_picking_type_receipts_136
Jinasena_MasterData_Stock.stock_picking_type_receipts_145,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_146
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_146,Jinasena_MasterData_Stock.stock_picking_type_receipts_145
Jinasena_MasterData_Stock.stock_picking_type_receipts_154,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_155
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_155,Jinasena_MasterData_Stock.stock_picking_type_receipts_154
Jinasena_MasterData_Stock.stock_picking_type_receipts_163,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_164
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_164,Jinasena_MasterData_Stock.stock_picking_type_receipts_163
Jinasena_MasterData_Stock.stock_picking_type_receipts_172,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_173
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_173,Jinasena_MasterData_Stock.stock_picking_type_returns_332
Jinasena_MasterData_Stock.stock_picking_type_receipts_190,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_191
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_191,Jinasena_MasterData_Stock.stock_picking_type_receipts_190
Jinasena_MasterData_Stock.stock_picking_type_receipts_219,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_220
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_220,Jinasena_MasterData_Stock.stock_picking_type_receipts_219
Jinasena_MasterData_Stock.stock_picking_type_receipts_247,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_248
