id,manu_type_id/id,pos_type_id/id,repair_type_id/id
Jinasena_MasterData_Stock.stock_warehouse_retail_sales_counter_sp_sp_rc,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_107,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_108,
Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,Jinasena_MasterData_Stock.stock_picking_type_manufacturing,Jinasena_MasterData_Stock.stock_picking_type_pos_orders,
Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_89,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_90,
Jinasena_MasterData_Stock.stock_warehouse_oils_lubricants_warehouse_ow_ek,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_98,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_99,
Jinasena_MasterData_Stock.stock_warehouse_production_warehouse_pw_je,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_125,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_126,
Jinasena_MasterData_Stock.stock_warehouse_production_warehouse_pw_mw,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_134,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_135,
Jinasena_MasterData_Stock.stock_warehouse_raw_material_main_warehouse_rp_ek,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_153,
Jinasena_MasterData_Stock.stock_warehouse_production_warehouse_pw_e1,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_143,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_144,
Jinasena_MasterData_Stock.stock_warehouse_br_am_warehouse_for_ampara_sales_center,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_162,
Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_raw_material_for_motors_m,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_391,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_392,
Jinasena_MasterData_Stock.stock_warehouse_production_warehouse_pw_jm,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_505,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_508,Jinasena_MasterData_Stock.stock_picking_type_repairs
Jinasena_MasterData_Stock.stock_warehouse_repairs_warehouse_rp_jm,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_517,,Jinasena_MasterData_Stock.stock_picking_type_repairs_822
Jinasena_MasterData_Stock.stock_warehouse_branch_warehouse_ekala_br_ek,,,Jinasena_MasterData_Stock.stock_picking_type_repairs_823
Jinasena_MasterData_Stock.stock_warehouse_jam_warehouse_ekala_jm_ek,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_760,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_763,Jinasena_MasterData_Stock.stock_picking_type_repairs_838
Jinasena_MasterData_Stock.stock_warehouse_production_warehouse_for_machining_and_a,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_784,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_787,
Jinasena_MasterData_Stock.stock_warehouse_plastic_warehouse_pl_ek,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_796,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_799,
Jinasena_MasterData_Stock.stock_warehouse_branch_warehouse_ampara,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_849,Jinasena_MasterData_Stock.stock_picking_type_repairs_850
Jinasena_MasterData_Stock.stock_warehouse_branch_warehouse_anuradhapura,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_859,Jinasena_MasterData_Stock.stock_picking_type_repairs_860
Jinasena_MasterData_Stock.stock_warehouse_branch_warehouse_avissawella,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_869,Jinasena_MasterData_Stock.stock_picking_type_repairs_870
Jinasena_MasterData_Stock.stock_warehouse_branch_warehouse_bandarawela,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_879,Jinasena_MasterData_Stock.stock_picking_type_repairs_880
Jinasena_MasterData_Stock.stock_warehouse_branch_warehouse_beruwela,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_889,Jinasena_MasterData_Stock.stock_picking_type_repairs_890
Jinasena_MasterData_Stock.stock_warehouse_branch_warehouse_buttala,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_899,Jinasena_MasterData_Stock.stock_picking_type_repairs_900
