id,name,create_variant,display_type,sequence,product_tmpl_ids/id,visibility
product_attribute_application,Application,always,radio,0,"__export__.product_template_4790_149c8eb8,__export__.product_template_4791_d5af2ea8,__export__.product_template_4803_760ea3d1,__export__.product_template_4804_9e4de38c,__export__.product_template_4805_ada333f6,__export__.product_template_4809_cb23dd7d,__export__.product_template_4795_59a8b11a,__export__.product_template_4797_6fe40b90,__export__.product_template_4794_7712c964,__export__.product_template_4796_69236451,__export__.product_template_4821_56431e35,__export__.product_template_334453_7b3622c0,__export__.product_template_4827_fb8e08a4,__export__.product_template_334434_db8fd58e,__export__.product_template_2027_45a042ea,__export__.product_template_4788_7bea3096,__export__.product_template_4835_a126dab2,__export__.product_template_4864_35675d62,__export__.product_template_4860_5fcbafff,__export__.product_template_4861_06ce11f2,__export__.product_template_4862_03e23403,__export__.product_template_4863_040a71e1,__export__.product_template_4877_8cea95f0,__export__.product_template_4878_542c93fa,__export__.product_template_4880_103ddd5f,__export__.product_template_4879_414e146a,__export__.product_template_4893_c3b09a95,__export__.product_template_4895_dc77037b,__export__.product_template_4896_7d035298,__export__.product_template_4846_6d71d518,__export__.product_template_4822_467e349a,__export__.product_template_4825_fdec3cab,__export__.product_template_4841_d471abfd,__export__.product_template_4812_612d30ad,__export__.product_template_4824_e1e47a7c,__export__.product_template_4836_4019c338,__export__.product_template_4840_81ae4199,__export__.product_template_334435_b6fde00e,__export__.product_template_4780_3eff3e7c,__export__.product_template_4850_f831b781,__export__.product_template_334436_488b56cb,__export__.product_template_4782_0b0ddae4,__export__.product_template_4858_bd99a310,__export__.product_template_334437_2dd6860c,__export__.product_template_4832_e399030d,__export__.product_template_4837_95e32f48,__export__.product_template_334476_525d0379,__export__.product_template_4828_d0720f6a,__export__.product_template_4833_f2c03399,__export__.product_template_4834_652b22bf,__export__.product_template_4839_c0aae347,__export__.product_template_4856_2da17b6c,__export__.product_template_4849_c7a93b45,__export__.product_template_4848_8735cdef,__export__.product_template_4847_b1bfeae9,__export__.product_template_4948_9a811b2e,__export__.product_template_4949_1a5140b5,__export__.product_template_4950_f93d8e41,__export__.product_template_4951_5bcc56ac,__export__.product_template_4779_cd64c063,__export__.product_template_4783_a7967241,__export__.product_template_4781_d4ec2919,__export__.product_template_4865_2d80e325,__export__.product_template_4890_aa1fd91c,__export__.product_template_4891_4a80792d,__export__.product_template_335980_182ec068,__export__.product_template_335979_efa9a2a7",visible
product_attribute_phase,Phase,always,select,1,"__export__.product_template_4790_149c8eb8,__export__.product_template_4791_d5af2ea8,__export__.product_template_4803_760ea3d1,__export__.product_template_4804_9e4de38c,__export__.product_template_4805_ada333f6,__export__.product_template_4809_cb23dd7d,__export__.product_template_4795_59a8b11a,__export__.product_template_4797_6fe40b90,__export__.product_template_4794_7712c964,__export__.product_template_4796_69236451,__export__.product_template_4821_56431e35,__export__.product_template_334453_7b3622c0,__export__.product_template_4827_fb8e08a4,__export__.product_template_334434_db8fd58e,__export__.product_template_2027_45a042ea,__export__.product_template_4788_7bea3096,__export__.product_template_4835_a126dab2,__export__.product_template_4864_35675d62,__export__.product_template_4860_5fcbafff,__export__.product_template_4861_06ce11f2,__export__.product_template_4862_03e23403,__export__.product_template_4863_040a71e1,__export__.product_template_4877_8cea95f0,__export__.product_template_4878_542c93fa,__export__.product_template_4880_103ddd5f,__export__.product_template_4879_414e146a,__export__.product_template_4893_c3b09a95,__export__.product_template_4895_dc77037b,__export__.product_template_4896_7d035298,__export__.product_template_4846_6d71d518,__export__.product_template_4822_467e349a,__export__.product_template_4825_fdec3cab,__export__.product_template_4841_d471abfd,__export__.product_template_4812_612d30ad,__export__.product_template_4824_e1e47a7c,__export__.product_template_4836_4019c338,__export__.product_template_4840_81ae4199,__export__.product_template_334435_b6fde00e,__export__.product_template_4780_3eff3e7c,__export__.product_template_4850_f831b781,__export__.product_template_334436_488b56cb,__export__.product_template_4782_0b0ddae4,__export__.product_template_4858_bd99a310,__export__.product_template_334437_2dd6860c,__export__.product_template_4832_e399030d,__export__.product_template_4837_95e32f48,__export__.product_template_334476_525d0379,__export__.product_template_4828_d0720f6a,__export__.product_template_4833_f2c03399,__export__.product_template_4834_652b22bf,__export__.product_template_4839_c0aae347,__export__.product_template_4856_2da17b6c,__export__.product_template_4849_c7a93b45,__export__.product_template_4848_8735cdef,__export__.product_template_4847_b1bfeae9,__export__.product_template_4948_9a811b2e,__export__.product_template_4949_1a5140b5,__export__.product_template_4950_f93d8e41,__export__.product_template_4951_5bcc56ac,__export__.product_template_4779_cd64c063,__export__.product_template_4783_a7967241,__export__.product_template_4781_d4ec2919,__export__.product_template_4865_2d80e325,__export__.product_template_4890_aa1fd91c,__export__.product_template_4891_4a80792d,__export__.product_template_335977_24c1e849,__export__.product_template_335980_182ec068,__export__.product_template_335979_efa9a2a7",visible
product_attribute_inlet_x_outlet,Inlet x Outlet,always,select,2,"__export__.product_template_4790_149c8eb8,__export__.product_template_4791_d5af2ea8,__export__.product_template_4803_760ea3d1,__export__.product_template_4804_9e4de38c,__export__.product_template_4805_ada333f6,__export__.product_template_4809_cb23dd7d,__export__.product_template_4795_59a8b11a,__export__.product_template_4797_6fe40b90,__export__.product_template_4794_7712c964,__export__.product_template_4796_69236451,__export__.product_template_4821_56431e35,__export__.product_template_334453_7b3622c0,__export__.product_template_4827_fb8e08a4,__export__.product_template_334434_db8fd58e,__export__.product_template_4788_7bea3096,__export__.product_template_4835_a126dab2,__export__.product_template_4864_35675d62,__export__.product_template_4860_5fcbafff,__export__.product_template_4861_06ce11f2,__export__.product_template_4862_03e23403,__export__.product_template_4863_040a71e1,__export__.product_template_4877_8cea95f0,__export__.product_template_4878_542c93fa,__export__.product_template_4880_103ddd5f,__export__.product_template_4879_414e146a,__export__.product_template_4893_c3b09a95,__export__.product_template_4895_dc77037b,__export__.product_template_4896_7d035298,__export__.product_template_4846_6d71d518,__export__.product_template_4822_467e349a,__export__.product_template_4825_fdec3cab,__export__.product_template_4841_d471abfd,__export__.product_template_4812_612d30ad,__export__.product_template_4824_e1e47a7c,__export__.product_template_4836_4019c338,__export__.product_template_4840_81ae4199,__export__.product_template_334435_b6fde00e,__export__.product_template_4780_3eff3e7c,__export__.product_template_4850_f831b781,__export__.product_template_334436_488b56cb,__export__.product_template_4782_0b0ddae4,__export__.product_template_4858_bd99a310,__export__.product_template_334437_2dd6860c,__export__.product_template_4832_e399030d,__export__.product_template_4837_95e32f48,__export__.product_template_4828_d0720f6a,__export__.product_template_4833_f2c03399,__export__.product_template_4834_652b22bf,__export__.product_template_4839_c0aae347,__export__.product_template_4856_2da17b6c,__export__.product_template_4849_c7a93b45,__export__.product_template_4848_8735cdef,__export__.product_template_4847_b1bfeae9,__export__.product_template_4779_cd64c063,__export__.product_template_4783_a7967241,__export__.product_template_4781_d4ec2919,__export__.product_template_4865_2d80e325,__export__.product_template_4890_aa1fd91c,__export__.product_template_4891_4a80792d",visible
product_attribute_power,Power,always,radio,3,,hidden
product_attribute_max_head_ft,Max Head ft,dynamic,color,4,,hidden
product_attribute_tube_size,Tube Size,always,radio,5,,hidden
product_attribute_output,Output,always,radio,6,,visible
product_attribute_speed_rpm,Speed RPM,always,radio,7,,hidden
product_attribute_impeller,Impeller,always,radio,8,,hidden
product_attribute_code_no,Code No,always,radio,9,,hidden
