id,name,complete_name,parent_path,packaging_reserve_method
product_category_co_ge_33,CO-GE-33,CO-GE-33,1785/,partial
product_category_fa_mc_41,FA-MC-41,FA-MC-41,1673/,partial
product_category_fa_mc_41_1845,FA-MC-41,FA-MC-41,1845/,partial
product_category_fg_4w_23,FG-4W-23,FG-4W-23,1846/,partial
product_category_fg_4w_23_1674,FG-4W-23,FG-4W-23,1674/,partial
product_category_fg_ba_06,FG-BA-06,FG-BA-06,1675/,partial
product_category_fg_bj_bl,FG-BJ-BL,FG-BJ-BL,1676/,partial
product_category_fg_bj_cf,FG-BJ-CF,FG-BJ-CF,1677/,partial
product_category_fg_bj_ci,FG-BJ-CI,FG-BJ-CI,1678/,partial
product_category_fg_bj_cm,FG-BJ-CM,FG-BJ-CM,1679/,partial
product_category_fg_bj_co,FG-BJ-CO,FG-BJ-CO,1680/,partial
product_category_fg_bj_cp,FG-BJ-CP,FG-BJ-CP,1681/,partial
product_category_fg_bj_gs,FG-BJ-GS,FG-BJ-GS,1682/,partial
product_category_fg_bj_ir,FG-BJ-IR,FG-BJ-IR,1683/,partial
product_category_fg_bj_mg,FG-BJ-MG,FG-BJ-MG,1684/,partial
product_category_fg_bj_mx,FG-BJ-MX,FG-BJ-MX,1685/,partial
product_category_fg_bj_sl,FG-BJ-SL,FG-BJ-SL,1686/,partial
product_category_fg_bj_th,FG-BJ-TH,FG-BJ-TH,1687/,partial
product_category_fg_bj_wh,FG-BJ-WH,FG-BJ-WH,1688/,partial
product_category_fg_bo_08,FG-BO-08,FG-BO-08,1689/,partial
product_category_fg_db_15,FG-DB-15,FG-DB-15,1690/,partial
product_category_fg_di_05,FG-DI-05,FG-DI-05,1691/,partial
product_category_fg_do_01,FG-DO-01,FG-DO-01,1692/,partial
product_category_fg_en_30,FG-EN-30,FG-EN-30,1693/,partial
product_category_fg_en_30_1847,FG-EN-30,FG-EN-30,1847/,partial
product_category_fg_ge_25,FG-GE-25,FG-GE-25,1694/,partial
product_category_fg_in_02,FG-IN-02,FG-IN-02,1695/,partial
product_category_fg_it_03,FG-IT-03,FG-IT-03,1696/,partial
product_category_fg_je_sm,FG-JE-SM,FG-JE-SM,1697/,partial
product_category_fg_je_sm_1848,FG-JE-SM,FG-JE-SM,1848/,partial
product_category_fg_jp_63,FG-JP-63,FG-JP-63,1698/,partial
product_category_fg_ma_26,FG-MA-26,FG-MA-26,1699/,partial
product_category_fg_ma_26_1849,FG-MA-26,FG-MA-26,1849/,partial
product_category_fg_mo_24,FG-MO-24,FG-MO-24,1700/,partial
product_category_fg_pe_04,FG-PE-04,FG-PE-04,1701/,partial
product_category_fg_rc_09,FG-RC-09,FG-RC-09,1702/,partial
product_category_fg_sr_14,FG-SR-14,FG-SR-14,1703/,partial
product_category_fg_sw_cv,FG-SW-CV,FG-SW-CV,1704/,partial
product_category_fg_sw_dc,FG-SW-DC,FG-SW-DC,1705/,partial
product_category_fg_sw_dp,FG-SW-DP,FG-SW-DP,1706/,partial
product_category_fg_sw_dw,FG-SW-DW,FG-SW-DW,1707/,partial
product_category_fg_sw_sf,FG-SW-SF,FG-SW-SF,1708/,partial
product_category_fg_sw_ts,FG-SW-TS,FG-SW-TS,1709/,partial
product_category_fg_sw_wc,FG-SW-WC,FG-SW-WC,1710/,partial
product_category_fg_th_20,FG-TH-20,FG-TH-20,1711/,partial
product_category_fg_th_20_1850,FG-TH-20,FG-TH-20,1850/,partial
product_category_fg_tl_22,FG-TL-22,FG-TL-22,1712/,partial
product_category_fg_tl_22_1851,FG-TL-22,FG-TL-22,1851/,partial
product_category_fg_tr_20,FG-TR-20,FG-TR-20,1713/,partial
product_category_fg_tr_20_1852,FG-TR-20,FG-TR-20,1852/,partial
product_category_fg_tr_22,FG-TR-22,FG-TR-22,1714/,partial
product_category_fg_tr_22_1853,FG-TR-22,FG-TR-22,1853/,partial
product_category_fg_wa_fl,FG-WA-FL,FG-WA-FL,1715/,partial
product_category_mm_ge_50,MM-GE-50,MM-GE-50,1854/,partial
product_category_mm_ge_50_1716,MM-GE-50,MM-GE-50,1716/,partial
product_category_mo_fg_62,MO-FG-62,MO-FG-62,1717/,partial
product_category_ra_je_pm,RA-JE-PM,RA-JE-PM,1718/,partial
product_category_rm_ge_01,RM-GE-01,RM-GE-01,1855/,partial
product_category_rm_ge_01_1719,RM-GE-01,RM-GE-01,1719/,partial
product_category_rm_ge_02_jam,RM-GE-02-JAM,RM-GE-02-JAM,1856/,partial
product_category_rm_ge_02_jld,RM-GE-02-JLD,RM-GE-02-JLD,1720/,partial
product_category_rm_ge_03,RM-GE-03,RM-GE-03,1857/,partial
product_category_rm_ge_03_1721,RM-GE-03,RM-GE-03,1721/,partial
product_category_rm_ge_04,RM-GE-04,RM-GE-04,1858/,partial
product_category_rm_ge_04_1722,RM-GE-04,RM-GE-04,1722/,partial
product_category_rm_ge_05,RM-GE-05,RM-GE-05,1723/,partial
product_category_rm_ge_05_1859,RM-GE-05,RM-GE-05,1859/,partial
product_category_rm_ge_06,RM-GE-06,RM-GE-06,1724/,partial
product_category_rm_ge_06_1860,RM-GE-06,RM-GE-06,1860/,partial
product_category_rm_ge_07,RM-GE-07,RM-GE-07,1725/,partial
product_category_rm_ge_07_1861,RM-GE-07,RM-GE-07,1861/,partial
product_category_rm_ge_08,RM-GE-08,RM-GE-08,1726/,partial
product_category_rm_ge_08_1862,RM-GE-08,RM-GE-08,1862/,partial
product_category_rm_ge_09,RM-GE-09,RM-GE-09,1863/,partial
product_category_rm_ge_10,RM-GE-10,RM-GE-10,1728/,partial
product_category_rm_ge_10_1864,RM-GE-10,RM-GE-10,1864/,partial
product_category_rm_ge_11,RM-GE-11,RM-GE-11,1865/,partial
product_category_rm_ge_11_1729,RM-GE-11,RM-GE-11,1729/,partial
product_category_rm_ge_12,RM-GE-12,RM-GE-12,1866/,partial
product_category_rm_ge_12_1730,RM-GE-12,RM-GE-12,1730/,partial
product_category_rm_ge_13,RM-GE-13,RM-GE-13,1731/,partial
product_category_rm_ge_13_1867,RM-GE-13,RM-GE-13,1867/,partial
product_category_rm_ge_14,RM-GE-14,RM-GE-14,1868/,partial
product_category_rm_ge_14_1732,RM-GE-14,RM-GE-14,1732/,partial
product_category_rm_ge_15,RM-GE-15,RM-GE-15,1869/,partial
product_category_rm_ge_15_1733,RM-GE-15,RM-GE-15,1733/,partial
product_category_rm_ge_16,RM-GE-16,RM-GE-16,1734/,partial
product_category_rm_ge_16_1870,RM-GE-16,RM-GE-16,1870/,partial
product_category_rm_ge_17,RM-GE-17,RM-GE-17,1871/,partial
product_category_rm_ge_17_1735,RM-GE-17,RM-GE-17,1735/,partial
product_category_rm_ge_18,RM-GE-18,RM-GE-18,1872/,partial
product_category_rm_ge_18_1736,RM-GE-18,RM-GE-18,1736/,partial
product_category_rm_ge_19,RM-GE-19,RM-GE-19,1737/,partial
product_category_rm_ge_19_1873,RM-GE-19,RM-GE-19,1873/,partial
product_category_rm_ge_20,RM-GE-20,RM-GE-20,1874/,partial
product_category_rm_ge_20_1738,RM-GE-20,RM-GE-20,1738/,partial
