id,name,create_variant,display_type,sequence,visibility
product_attribute_application,Application,always,radio,0,visible
product_attribute_phase,Phase,always,select,1,visible
product_attribute_inlet_x_outlet,Inlet x Outlet,always,select,2,visible
product_attribute_power,Power,always,radio,3,hidden
product_attribute_max_head_ft,Max Head ft,dynamic,color,4,hidden
product_attribute_tube_size,Tube Size,always,radio,5,hidden
product_attribute_output,Output,always,radio,6,visible
product_attribute_speed_rpm,Speed RPM,always,radio,7,hidden
product_attribute_impeller,Impeller,always,radio,8,hidden
product_attribute_code_no,Code No,always,radio,9,hidden
product_attribute_user_manual,User Manual,always,radio,10,hidden
product_attribute_price,Price,dynamic,select,12,hidden
product_attribute_warranty,Warranty,always,radio,20,visible
product_attribute_for_life,For Life,always,radio,20,visible
product_attribute_max_head,Max Head,always,select,0,visible
product_attribute_test,test,no_variant,radio,0,visible
product_attribute_engine_operated,Engine Operated,always,radio,0,visible
product_attribute_prime_mover,Prime Mover,always,radio,0,visible
