id,name,sequence,attribute_id/id,default_extra_price,is_custom,color
product_attribute_value_agro_irrigation,Agro & Irrigation,0,Jinasena_MasterData_Stock.product_attribute_application,0.0,,2
product_attribute_value_constructions,Constructions,1,Jinasena_MasterData_Stock.product_attribute_application,0.0,,9
product_attribute_value_fire_fighting,Fire-Fighting,2,Jinasena_MasterData_Stock.product_attribute_application,0.0,,10
product_attribute_value_flood_control,Flood Control,3,Jinasena_MasterData_Stock.product_attribute_application,0.0,,9
product_attribute_value_general_water_supply,General Water Supply,4,Jinasena_MasterData_Stock.product_attribute_application,0.0,,4
product_attribute_value_high_pressure,High Pressure,5,Jinasena_MasterData_Stock.product_attribute_application,0.0,,2
product_attribute_value_home_water_supply,Home Water Supply,6,Jinasena_MasterData_Stock.product_attribute_application,0.0,,7
product_attribute_value_high_head_water_supply,High-head Water Supply,7,Jinasena_MasterData_Stock.product_attribute_application,0.0,,4
product_attribute_value_hvac,HVAC,8,Jinasena_MasterData_Stock.product_attribute_application,0.0,,10
product_attribute_value_ornamental_featuring,Ornamental Featuring,9,Jinasena_MasterData_Stock.product_attribute_application,0.0,,2
product_attribute_value_process_circulation,Process Circulation,10,Jinasena_MasterData_Stock.product_attribute_application,0.0,,6
product_attribute_value_swimming_pool_water_circulation,Swimming pool water circulation,0,Jinasena_MasterData_Stock.product_attribute_application,0.0,,9
product_attribute_value_cooling_tower,Cooling tower,0,Jinasena_MasterData_Stock.product_attribute_application,0.0,,10
product_attribute_value_sprinkler_pop_ups_rain_gun,Sprinkler /Pop-ups / Rain gun,0,Jinasena_MasterData_Stock.product_attribute_application,0.0,,1
product_attribute_value_chilled_water_circulation,Chilled water circulation,0,Jinasena_MasterData_Stock.product_attribute_application,0.0,,1
product_attribute_value_lift_irrigation,Lift irrigation,0,Jinasena_MasterData_Stock.product_attribute_application,0.0,,4
product_attribute_value_filter_feed,Filter Feed,0,Jinasena_MasterData_Stock.product_attribute_application,0.0,,9
product_attribute_value_1_phase,1 Phase,0,Jinasena_MasterData_Stock.product_attribute_phase,0.0,,4
product_attribute_value_3_phase,3 Phase,0,Jinasena_MasterData_Stock.product_attribute_phase,0.0,,11
product_attribute_value_1_x_1,1 x 1,0,Jinasena_MasterData_Stock.product_attribute_inlet_x_outlet,0.0,,2
product_attribute_value_6_x_6,6 X 6,0,Jinasena_MasterData_Stock.product_attribute_inlet_x_outlet,0.0,,11
