id,default_code,active,product_tmpl_id/id,barcode,combination_indices,volume,weight,base_unit_count,x_studio_item_approved_temp,x_studio_item_approved,x_studio_item_approval_request_sent,x_studio_item_approval_request_sent_temp
product_product_id_137909,,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_epc_10cj_024s,,"980,981,982,983,984,985",0.0,0.0,0.0,,,,
product_product_id_137908,,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_epc_10cj_030s,,"974,975,976,977,978,979",0.0,0.0,0.0,,,,
product_product_id_130226,02BB 023,1,Jinasena_MasterData_Stock.product_template_ball_bearing_6202_2rs,02BB 023,,0.0,250.0,0.0,,,,
product_product_id_3715,10CJ 020S,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_10cj_020s,10CJ 020S,"341,342,594,843,844",0.0,0.0,0.0,1,1,1,1
product_product_id_3716,10CJ 024S,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_10cj_024s,10CJ 024S,"343,344,595,845,846",0.0,0.0,0.0,1,1,1,1
product_product_id_3717,10CJ 030S,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_10cj_030s,10CJ 030S,"345,346,599,929,930",0.0,0.0,0.0,1,1,1,1
product_product_id_3747,200/1-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_200_1_w,200/1-W,"431,432,433,434,871,872",0.0,0.0,0.0,,1,1,
product_product_id_137193,26EC N110T/1N-GP,1,Jinasena_MasterData_Stock.product_template_c_i_end_cover_n110t_1n_gold_painted,26EC N110T/1N-GP,,0.0,0.0,0.0,1,1,1,1
product_product_id_3779,DDH500/100,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh500_100_dir,DDH500/100,"561,562,563,564,565,566,899,900",0.0,0.0,0.0,1,1,1,1
product_product_id_3775,DDH500/40,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh500_40,DDH500/40,"537,538,539,540,541,542,891,892",0.0,0.0,0.0,1,1,1,1
product_product_id_3776,DDH500/50,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh500_50,DDH500/50,"543,544,545,546,547,548,893,894",0.0,0.0,0.0,1,1,1,1
product_product_id_3777,DDH500/60,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh500_60,DDH500/60,"549,550,551,552,553,554,895,896",0.0,0.0,0.0,1,1,1,1
product_product_id_3778,DDH500/75,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh500_75,DDH500/75,"555,556,557,558,559,560,897,898",0.0,0.0,0.0,1,1,1,1
product_product_id_3795,DDH600/30,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh600_30_dire,DDH600/30,"617,618,619,621,623,624,625,905,906",0.0,0.0,0.0,1,1,1,1
product_product_id_3796,DDH600/40,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh600_40_dire,DDH600/40,"626,627,628,629,630,631,632,907,908",0.0,0.0,0.0,1,1,1,1
product_product_id_3798,DDH600/60,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh600_60,DDH600/60,"640,641,642,643,644,645,646,911,912",0.0,0.0,0.0,1,1,1,1
product_product_id_3797,DDH600/75,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddh600_75_dire,DDH600/75,"633,634,635,636,637,638,639,909,910",0.0,0.0,0.0,1,1,1,1
product_product_id_3808,DDI600/100,1,Jinasena_MasterData_Stock.product_template_direct_drive_high_head_6_x_6_100_hp_thre,DDI600/100,"654,656,657,658,659,660",0.0,0.0,0.0,1,1,1,1
product_product_id_3809,DDI600/120,1,Jinasena_MasterData_Stock.product_template_direct_drive_high_head_6_x_6_120_hp_thre,DDI600/120,"661,662,663,664,665,666",0.0,0.0,0.0,1,1,1,1
product_product_id_3811,DDJ300/30,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddj300_30,DDJ300/30,"667,668,670,671,673,674,675,685,913,914",0.0,0.0,0.0,1,1,1,1
product_product_id_3813,DDJ300/40,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddj300_40,DDJ300/40,"686,687,688,689,690,691,692,693,915,916",0.0,0.0,0.0,1,1,1,1
product_product_id_3814,DDJ300/50,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_ddj300_50,DDJ300/50,"694,695,696,697,698,699,700,701",0.0,0.0,0.0,1,1,1,1
product_product_id_137385,DDM500/30,1,Jinasena_MasterData_Stock.product_template_centrifugal_water_pump_three_phase_30_hp,DDM500/30,,0.0,0.0,0.0,1,1,1,1
product_product_id_3780,DDM500/40,1,Jinasena_MasterData_Stock.product_template_centrifugal_water_pump_three_phase_40_hp,DDM500/40,"567,568,569,570,571,572,903,904",0.0,0.0,0.0,1,1,1,1
product_product_id_3758,DH200/3-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_dh200_3_w,DH200/3-W,"465,466,467,468,879,880",0.0,0.0,0.0,1,1,1,1
product_product_id_3734,DM140/1-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_dm140_1_w,DM140/1-W,"380,381,382,849,850",0.0,0.0,0.0,,1,1,
product_product_id_3737,DM140/3-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_dm140_3_w,DM140/3-W,"391,393,394,395,853,854",0.0,0.0,0.0,1,1,1,1
product_product_id_3753,DM200/3-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_dm200_3_w,DM200/3-W,"457,458,459,460,877,878",0.0,0.0,0.0,1,1,1,1
product_product_id_3721,EPC 10CJ 020S,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_epc_10cj_020s,EPC 10CJ 020S,"356,357,368,598,931,932",0.0,0.0,0.0,1,1,1,1
product_product_id_3707,EPC N110T/1N,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_epc_n110t_1n,EPC N110T/1N,"323,324,333,590,923,924",0.0,0.0,0.0,1,1,1,1
product_product_id_3709,EPC N115T/1N,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_epc_n115t_1n,EPC N115T/1N,"327,328,329,592,927,928",0.0,0.0,0.0,1,1,1,1
product_product_id_3706,EPC PPO110/1N,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_epc_ppo110_1n,EPC PPO110/1N,"321,322,332,589,921,922",0.0,0.0,0.0,1,1,1,1
product_product_id_3708,EPC PPO115/1N,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_epc_ppo115_1n,EPC PPO115/1N,"325,326,334,591,925,926",0.0,0.0,0.0,1,1,1,1
product_product_id_3724,H140/1-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_h140_1_w,H140/1-W,"363,364,365,375,847,848",0.0,0.0,0.0,,1,1,
product_product_id_3736,H140/3-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_h140_3_w,H140/3-W,"387,388,389,390,851,852",0.0,0.0,0.0,1,1,1,1
product_product_id_3748,H200/1-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_h200_1_w,H200/1-W,"436,437,438,439,865,866",0.0,0.0,0.0,1,1,1,1
product_product_id_3752,H200/3-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_h200_3_w,H200/3-W,"453,454,455,456,479,875,876",0.0,0.0,0.0,1,1,1,1
product_product_id_137352,H275/3-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_h275_3_w,H275/3-W,"769,770,771,772,773,774,775,819,820",0.0,0.0,0.0,1,1,1,1
product_product_id_3691,H300/3-W,1,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_h300_3_w,H300/3-W,"287,290,291,410,823,824",0.0,0.0,0.0,1,1,1,1
