id,name,complete_name,active,usage,location_id/id,comment,posx,posy,posz,parent_path,company_id/id,return_location,cyclic_inventory_frequency,last_inventory_date,warehouse_id/id,x_color,x_studio_many2many_field_7kpUe/id,x_studio_finished_good_location,x_studio_users_stock_location/id,x_studio_users_internal_transfer/id,x_studio_temp_location
stock_location_transit,Transit,BR-EK/Transit,1,transit,,<p><br></p>,0,0,0,1/526/668/,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,0,,seed_master_data_and_settings.warehouse_br_ek_c2,0,,,,,
stock_location_defective,DEFECTIVE,JM-EK/DEFECTIVE,1,internal,,,0,0,0,1/734/960/,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,0,2025-09-04,seed_master_data_and_settings.warehouse_jm_ek_c2,0,,,,,
stock_location_transit_207,Transit,MW-CM/Transit,1,internal,,<p><br></p>,0,0,0,1/83/207/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,seed_master_data_and_settings.warehouse_mw_cm_c1,0,,,__export__.res_users_24_a6d61d09,,
stock_location_finishgood,FinishGood,MW-EK/FinishGood,1,internal,,<p><br></p>,0,0,0,1/182/485/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,2024-02-22,seed_master_data_and_settings.warehouse_mw_ek_c1,0,,1,,,
stock_location_transit_208,Transit,MW-EK/Transit,1,internal,,<p><br></p>,0,0,0,1/182/208/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,2024-02-22,seed_master_data_and_settings.warehouse_mw_ek_c1,0,,,,,
stock_location_finishgood_460,FinishGood,MW-JC/FinishGood,1,internal,,<p><br></p>,0,0,0,1/222/460/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,2024-02-27,seed_master_data_and_settings.warehouse_mw_jc_c1,0,,1,,,
stock_location_transit_210,Transit,OW-EK/Transit,1,internal,,<p><br></p>,0,0,0,1/91/210/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,seed_master_data_and_settings.warehouse_ow_ek_c1,0,,,,,
stock_location_dismantle,Dismantle,PW-E1/Dismantle,1,internal,,<p><br></p>,0,0,0,1/131/191/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,__export__.stock_warehouse_16_c6322855,0,,,,,
stock_location_finishgood_451,FinishGood,PW-E1/FinishGood,1,internal,,<p><br></p>,0,0,0,1/131/451/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,2023-09-29,__export__.stock_warehouse_16_c6322855,0,,,,,
stock_location_transit_213,Transit,PW-E1/Transit,1,internal,,<p><br></p>,0,0,0,1/131/213/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,__export__.stock_warehouse_16_c6322855,0,,,,,
