id,name,active,sequence,product_selectable,product_categ_selectable,warehouse_selectable,supplied_wh_id/id,supplier_wh_id/id,company_id/id,product_ids/id,warehouse_ids/id,sale_selectable
stock_route_raw_material_main_warehouse_rp_ek_supply,Raw Material Main Warehouse - RP-EK: Supply Product from Production warehouse for Machining and Assembly of JEM - ( PW-MA ),1,0,1,,,seed_master_data_and_settings.warehouse_rp_ek_c1,seed_master_data_and_settings.warehouse_pw_ma_c1,base.main_company,,,
stock_route_casting_department_mw_jc_supply_product_,Casting Department - MW-JC: Supply Product from Casting warehouse - CW-CM,1,0,1,,,seed_master_data_and_settings.warehouse_mw_jc_c1,seed_master_data_and_settings.warehouse_cw_cm_c1,base.main_company,,,
stock_route_casting_department_mw_jc_supply_product__231,Casting Department - MW-JC: Supply Product from Main warehouse - MW-EK,1,0,1,,,seed_master_data_and_settings.warehouse_mw_jc_c1,seed_master_data_and_settings.warehouse_mw_ek_c1,base.main_company,,,
stock_route_production_warehouse_pw_je_supply_produc,Production warehouse - PW-JE: Supply Product from Plastic Warehouse - ( PL-EK ),1,0,1,,,seed_master_data_and_settings.warehouse_pw_je_c1,seed_master_data_and_settings.warehouse_pl_ek_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_pl_motor_foot,Jinasena_MasterData_Stock.product_template_plastic_connector_nr105_1",,
stock_route_production_warehouse_for_machining_and_a,Production warehouse for Machining and Assembly of JEM - ( PW-MA ): Supply Product from Casting Department - MW-JC,1,0,1,,,seed_master_data_and_settings.warehouse_pw_ma_c1,seed_master_data_and_settings.warehouse_mw_jc_c1,base.main_company,Jinasena_MasterData_Stock.product_template_c_i_end_cover_n110t_1n,,
stock_route_electrical_installation_projects_warehou,Electrical Installation Projects warehouse - PJ-EI: Supply Product from Raw Material Main Warehouse - RP-EK,1,0,1,1,1,seed_master_data_and_settings.warehouse_pj_ei_c1,seed_master_data_and_settings.warehouse_rp_ek_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_dm140_3_w,Jinasena_MasterData_Stock.product_template_ball_bearing_6202_2rs_335871",,
stock_route_br_am_warehouse_for_ampara_sales_center_,BR-AM - Warehouse for Ampara Sales Center: Supply Product from Raw Material Main Warehouse - RP-EK,1,0,1,1,1,seed_master_data_and_settings.warehouse_br_am_c1,seed_master_data_and_settings.warehouse_rp_ek_c1,base.main_company,,,
stock_route_production_warehouse_for_machining_and_a_491,Production warehouse for Machining and Assembly of JEM - ( PW-MA ): Supply Product from Plastic Warehouse - ( PL-EK ),1,0,1,,,seed_master_data_and_settings.warehouse_pw_ma_c1,seed_master_data_and_settings.warehouse_pl_ek_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_fan_cover_nr110_1_injection_moulded,Jinasena_MasterData_Stock.product_template_impeller_assy_n110,Jinasena_MasterData_Stock.product_template_terminal_box_and_cover_nr115_1_al_m_hous,Jinasena_MasterData_Stock.product_template_ultra_dur_fan_m125_red_injection_moulded",,
stock_route_production_warehouse_for_machining_and_a_478,Production warehouse for Machining and Assembly of JEM - ( PW-MA ): Supply Product from Production warehouse - PW-MW,1,0,1,,,seed_master_data_and_settings.warehouse_pw_ma_c1,seed_master_data_and_settings.warehouse_pw_mw_c1,base.main_company,,,
stock_route_repairs_warehouse_rp_cm_supply_product_f,Repairs warehouse - RP-CM: Supply Product from Casting warehouse - CW-CM,1,0,1,1,1,seed_master_data_and_settings.warehouse_rp_cm_c1,seed_master_data_and_settings.warehouse_cw_cm_c1,base.main_company,,,
stock_route_production_warehouse_pw_je_supply_produc_490,Production warehouse - PW-JE: Supply Product from Production warehouse for Machining and Assembly of JEM - ( PW-MA ),1,0,1,,,seed_master_data_and_settings.warehouse_pw_je_c1,seed_master_data_and_settings.warehouse_pw_ma_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_fan_cover_nr110_1_drilled,Jinasena_MasterData_Stock.product_template_terminal_box_and_cover_nr115_1_machining,Jinasena_MasterData_Stock.product_template_ultra_dur_fan_m125_red_drilled",,
stock_route_production_warehouse_pw_je_supply_produc_240,Production warehouse - PW-JE: Supply Product from Production warehouse - PW-E1,1,0,1,,,seed_master_data_and_settings.warehouse_pw_je_c1,seed_master_data_and_settings.warehouse_pw_e1_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_c_i_end_cover_n110t_1n_gold_painted,Jinasena_MasterData_Stock.product_template_c_i_pump_body_n110t_1n_gold_painted,Jinasena_MasterData_Stock.product_template_extruded_alu_housing_jin2_118mm_n110_gol",,
stock_route_production_warehouse_pw_je_supply_produc_229,Production warehouse - PW-JE: Supply Product from Production warehouse - PW-MW,1,0,1,,,seed_master_data_and_settings.warehouse_pw_je_c1,seed_master_data_and_settings.warehouse_pw_mw_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_coil_set_3_4_2_1_n110t_1n_running,Jinasena_MasterData_Stock.product_template_coil_set_3_4_2_1_n110t_1n_starting,Jinasena_MasterData_Stock.product_template_rotor_with_shaft_n110t_1n_machining_comp,Jinasena_MasterData_Stock.product_template_wound_lampack_3_4_2_1_n110t_1n",,
stock_route_quick_repairs_warehouse_rp_qu_supply_pro,Quick Repairs warehouse - RP-QU: Supply Product from Retail Sales Counter(Sp) - SP-RC,1,0,1,1,1,seed_master_data_and_settings.warehouse_rp_qu_c1,seed_master_data_and_settings.warehouse_sp_rc_c1,base.main_company,,,
stock_route_jinasena_pvt_ltd_supply_product_from_mai,jinasena Pvt Ltd: Supply Product from Main warehouse - MW-EK,1,0,1,1,1,stock.warehouse0,seed_master_data_and_settings.warehouse_mw_ek_c1,base.main_company,,,
stock_route_casting_warehouse_cw_cm_supply_product_f,Casting warehouse - CW-CM: Supply Product from Casting Department - MW-JC,1,0,1,,,seed_master_data_and_settings.warehouse_cw_cm_c1,seed_master_data_and_settings.warehouse_mw_jc_c1,base.main_company,,,
stock_route_production_warehouse_pw_e1_supply_produc,Production warehouse - PW-E1: Supply Product from Main warehouse - MW-CM,1,0,1,,,seed_master_data_and_settings.warehouse_pw_e1_c1,seed_master_data_and_settings.warehouse_mw_cm_c1,base.main_company,Jinasena_MasterData_Stock.product_template_pump_motor_n110t_1n_3_4_2_1,,
stock_route_production_warehouse_pw_je_supply_produc_228,Production warehouse - PW-JE: Supply Product from Main warehouse - Raw material for motors - MW-JE,1,0,1,,,seed_master_data_and_settings.warehouse_pw_je_c1,seed_master_data_and_settings.warehouse_mw_je_c1,base.main_company,Jinasena_MasterData_Stock.product_template_ball_bearing_6202_2rs_335871,,
stock_route_production_warehouse_pw_e1_supply_produc_171,Production warehouse - PW-E1: Supply Product from Raw Material Main Warehouse - RP-EK,1,0,1,,,seed_master_data_and_settings.warehouse_pw_e1_c1,seed_master_data_and_settings.warehouse_rp_ek_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_brass_flat_washer_nr115,Jinasena_MasterData_Stock.product_template_noryl_imp_n110_1_usw_machining_completed,Jinasena_MasterData_Stock.product_template_pl_plug_del_end_qm100,Jinasena_MasterData_Stock.product_template_plastic_priming_plug_16mm",,
stock_route_production_warehouse_pw_e1_supply_produc_170,Production warehouse - PW-E1: Supply Product from Main warehouse - MW-JE,1,0,1,,1,seed_master_data_and_settings.warehouse_pw_e1_c1,seed_master_data_and_settings.warehouse_sp_rc_c1,base.main_company,Jinasena_MasterData_Stock.product_template_ball_bearing_6202_2rs_335871,,
stock_route_br_am_warehouse_for_ampara_sales_center__203,BR-AM - Warehouse for Ampara Sales Center: Supply Product from Main warehouse - MW-EK,1,0,1,1,1,seed_master_data_and_settings.warehouse_br_am_c1,seed_master_data_and_settings.warehouse_mw_ek_c1,base.main_company,,,
stock_route_plastic_warehouse_pl_ek_supply_product_f,Plastic Warehouse - ( PL-EK ): Supply Product from Main warehouse - MW-EK,1,0,1,,,seed_master_data_and_settings.warehouse_pl_ek_c1,seed_master_data_and_settings.warehouse_mw_ek_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_h_d_polythene_granules_kg,Jinasena_MasterData_Stock.product_template_masterbatch_black",,
stock_route_raw_material_main_warehouse_rp_ek_supply_484,Raw Material Main Warehouse - RP-EK: Supply Product from Plastic Warehouse - ( PL-EK ),1,0,1,,,seed_master_data_and_settings.warehouse_rp_ek_c1,seed_master_data_and_settings.warehouse_pl_ek_c1,base.main_company,,,
stock_route_br_am_warehouse_for_ampara_sales_center__434,BR-AM - Warehouse for Ampara Sales Center: Supply Product from Casting warehouse - CW-CM,1,0,1,1,1,seed_master_data_and_settings.warehouse_br_am_c1,seed_master_data_and_settings.warehouse_cw_cm_c1,base.main_company,,,
stock_route_finishgood_to_stock,FinishGood to Stock,1,0,1,,,,,base.main_company,,,
stock_route_br_am_warehouse_for_ampara_sales_center__165,BR-AM - Warehouse for Ampara Sales Center: Supply Product from Production warehouse - PW-E1,1,0,1,1,1,seed_master_data_and_settings.warehouse_br_am_c1,seed_master_data_and_settings.warehouse_pw_e1_c1,base.main_company,,,
stock_route_electrical_installation_projects_warehou_160,Electrical Installation Projects warehouse - PJ-EI: Supply Product from Main warehouse - MW-EK,1,0,1,1,1,seed_master_data_and_settings.warehouse_pj_ei_c1,seed_master_data_and_settings.warehouse_mw_ek_c1,base.main_company,,,
stock_route_production_warehouse_for_machining_and_a_488,Production warehouse for Machining and Assembly of JEM - ( PW-MA ): Supply Product from Casting warehouse - CW-CM,1,0,1,,,seed_master_data_and_settings.warehouse_pw_ma_c1,seed_master_data_and_settings.warehouse_cw_cm_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_c_i_pump_body_n110t_1n,Jinasena_MasterData_Stock.product_template_c_i_vol_casing_n110_1_casted",,
stock_route_casting_warehouse_cw_cm_supply_product_f_105,Casting warehouse - CW-CM: Supply Product from Raw Material Main Warehouse - RP-EK,1,0,1,,,seed_master_data_and_settings.warehouse_cw_cm_c1,seed_master_data_and_settings.warehouse_rp_ek_c1,base.main_company,,,1
stock_route_manufacture_1,Manufacture_1,1,0,1,,,,,base.main_company,"Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_n110t_1n,Jinasena_MasterData_Stock.product_template_c_i_vol_casing_n110_1_casted,Jinasena_MasterData_Stock.product_template_plastic_priming_plug_16mm",,
stock_route_repairs_warehouse_rp_cm_supply_product_f_205,Repairs warehouse - RP-CM: Supply Product from Main warehouse - MW-CM,1,0,1,1,1,seed_master_data_and_settings.warehouse_rp_cm_c1,seed_master_data_and_settings.warehouse_mw_cm_c1,base.main_company,,,
stock_route_inter_warehouse_transit,Inter Warehouse Transit,1,0,,,1,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,"Jinasena_MasterData_Stock.product_template_u_pin_holders,Jinasena_MasterData_Stock.product_template_0_75hp_1_motor_for_mmc75,Jinasena_MasterData_Stock.product_template_ball_bearing_rls5","seed_master_data_and_settings.warehouse_pw_jm_c2,seed_master_data_and_settings.warehouse_br_ek_c2",
stock_route_production_warehouse_pw_e1_supply_produc_169,Production warehouse - PW-E1: Supply Product from Oils & lubricants warehouse - OW-EK,1,0,1,,1,seed_master_data_and_settings.warehouse_pw_e1_c1,seed_master_data_and_settings.warehouse_ow_ek_c1,base.main_company,,,
stock_route_production_warehouse_pw_e1_supply_produc_172,Production warehouse - PW-E1: Supply Product from Production warehouse - PW-JE,1,0,1,,,seed_master_data_and_settings.warehouse_pw_e1_c1,seed_master_data_and_settings.warehouse_pw_je_c1,base.main_company,,,
stock_route_repairs_warehouse_rp_jm_supply_product_f,Repairs Warehouse - (RP-JM): Supply Product from JAM Warehouse Ekala- (JM-EK),1,0,1,1,1,seed_master_data_and_settings.warehouse_rp_jm_c2,seed_master_data_and_settings.warehouse_jm_ek_c2,seed_master_data_and_settings.company_jinasena_agricultural_machinery,"Jinasena_MasterData_Stock.product_template_ball_bearing_6202_2rs,Jinasena_MasterData_Stock.product_template_0_75hp_1_motor_for_mmc75,Jinasena_MasterData_Stock.product_template_ball_bearing_6203_2rs,Jinasena_MasterData_Stock.product_template_basic_multi_chopper",,
stock_route_production_warehouse_pw_e1_supply_produc_489,Production warehouse - PW-E1: Supply Product from Production warehouse for Machining and Assembly of JEM - ( PW-MA ),1,0,1,,,seed_master_data_and_settings.warehouse_pw_e1_c1,seed_master_data_and_settings.warehouse_pw_ma_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_c_i_end_cover_n110t_1n_primer_painted,Jinasena_MasterData_Stock.product_template_c_i_pump_body_n110t_1n_primer_painted,Jinasena_MasterData_Stock.product_template_extruded_al_housing_jin2_118_machining_c",,
stock_route_rc_tm_consignment,RC-TM Consignment,1,0,,,,,,base.main_company,,,1
stock_route_production_warehouse_pw_e1_supply_produc_167,Production warehouse - PW-E1: Supply Product from Casting warehouse - CW-CM,1,0,1,,,seed_master_data_and_settings.warehouse_pw_e1_c1,seed_master_data_and_settings.warehouse_cw_cm_c1,base.main_company,"Jinasena_MasterData_Stock.product_template_n110_1_volute_casing_ci_machining_comple,Jinasena_MasterData_Stock.product_template_stud_6mm",,
stock_route_repairs_warehouse_rp_cm_supply_product_f_143,Repairs warehouse - RP-CM: Supply Product from Raw Material Main Warehouse - RP-EK,1,0,1,1,1,seed_master_data_and_settings.warehouse_rp_cm_c1,seed_master_data_and_settings.warehouse_rp_ek_c1,base.main_company,,,
stock_route_finishgood_stock_to_stock,FinishGood Stock to Stock,1,0,,,,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,Jinasena_MasterData_Stock.product_template_ball_bearing_rls5,,
stock_route_repairs_warehouse_rp_jm_supply_product_f_440,Repairs Warehouse - (RP-JM): Supply Product from Main Warehouse - (JM-EK),1,0,1,1,1,seed_master_data_and_settings.warehouse_rp_jm_c2,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,"Jinasena_MasterData_Stock.product_template_ball_bearing_rls5,Jinasena_MasterData_Stock.product_template_rubber_sheet_2_x2_x3_8",,
stock_route_main_warehouse_mw_ek_supply_product_from,Main warehouse - MW-EK: Supply Product from Production warehouse - PW-E1,1,0,1,1,1,seed_master_data_and_settings.warehouse_mw_ek_c1,seed_master_data_and_settings.warehouse_pw_e1_c1,base.main_company,Jinasena_MasterData_Stock.product_template_centric_type_pumping_unit_n110t_1n,,
stock_route_repairs_warehouse_rp_cm_supply_product_f_206,Repairs warehouse - RP-CM: Supply Product from Oils & lubricants warehouse - OW-EK,1,0,1,1,1,seed_master_data_and_settings.warehouse_rp_cm_c1,seed_master_data_and_settings.warehouse_ow_ek_c1,base.main_company,,,
stock_route_transit_to_stock,Transit to Stock,1,0,1,,,,,base.main_company,,,
stock_route_rc_tm_warehouse_for_colombo_sales_center,RC-TM - Warehouse for Colombo Sales Center: Supply Product from Raw Material Main Warehouse - RP-EK,1,0,1,1,1,seed_master_data_and_settings.warehouse_rc_tm_c2,seed_master_data_and_settings.warehouse_rp_ek_c1,base.main_company,,,
stock_route_jinasena_pvt_ltd_warehouse_23_receive_in,Jinasena (Pvt) Ltd. - warehouse # 23: Receive in 1 step (stock),1,9,,1,1,,,base.main_company,,,
stock_route_ttt_receive_in_1_step_stock,ttt: Receive in 1 step (stock),1,9,,1,1,,,base.main_company,,,
stock_route_jinasena_warehouse_27_receive_in_1_step_,Jinasena warehouse # 27: Receive in 1 step (stock),1,9,,1,1,,,base.main_company,,,
stock_route_repairs_warehouse_jam_ekala_receive_in_1,Repairs warehouse - JAM Ekala: Receive in 1 step (stock),1,9,,1,1,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,seed_master_data_and_settings.warehouse_rp_jm_c2,
stock_route_branch_warehouse_ekala_receive_in_1_step,Branch warehouse - Ekala: Receive in 1 step (stock),1,9,,1,1,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,seed_master_data_and_settings.warehouse_br_ek_c2,
stock_route_main_warehouse_jm_ek_receive_in_1_step_s,Main Warehouse - (JM-EK): Receive in 1 step (stock),1,9,,1,1,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,,
stock_route_jinasena_pvt_ltd_warehouse_28_receive_in,Jinasena (Pvt) Ltd. - warehouse # 28: Receive in 1 step (stock),1,9,,1,1,,,base.main_company,,,
stock_route_jinasena_pvt_ltd_warehouse_26_receive_in,Jinasena (Pvt) Ltd. - warehouse # 26: Receive in 1 step (stock),1,9,,1,1,,,base.main_company,,,
stock_route_ttt_resupply_subcontractor,ttt: Resupply Subcontractor,1,10,,,1,,,base.main_company,,,
stock_route_main_warehouse_mw_je_resupply_subcontrac,Main warehouse - MW-JE: Resupply Subcontractor,1,10,,,1,,,base.main_company,,seed_master_data_and_settings.warehouse_sp_rc_c1,
stock_route_jinasena_pvt_ltd_warehouse_28_deliver_in,Jinasena (Pvt) Ltd. - warehouse # 28: Deliver in 1 step (ship),1,10,,1,1,,,base.main_company,,,
stock_route_jinasena_pvt_ltd_warehouse_28_resupply_s,Jinasena (Pvt) Ltd. - warehouse # 28: Resupply Subcontractor,1,10,,,1,,,base.main_company,,,
stock_route_ttt_resupply_subcontractor_287,ttt: Resupply Subcontractor,1,10,,,1,,,base.main_company,,,
stock_route_ttt_deliver_in_1_step_ship,ttt: Deliver in 1 step (ship),1,10,,,,,,base.main_company,,,
stock_route_jinasena_warehouse_27_deliver_in_1_step_,Jinasena warehouse # 27: Deliver in 1 step (ship),1,10,,1,1,,,base.main_company,,,
stock_route_repairs_warehouse_jam_ekala_deliver_in_1,Repairs warehouse - JAM Ekala: Deliver in 1 step (ship),1,10,,1,1,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,seed_master_data_and_settings.warehouse_rp_jm_c2,
stock_route_branch_warehouse_ekala_deliver_in_1_step,Branch warehouse - Ekala: Deliver in 1 step (ship),1,10,,1,1,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,seed_master_data_and_settings.warehouse_br_ek_c2,
stock_route_main_warehouse_jm_ek_deliver_in_1_step_s,Main Warehouse - (JM-EK): Deliver in 1 step (ship),1,10,,1,1,,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,,
stock_route_jinasena_warehouse_27_resupply_subcontra,Jinasena warehouse # 27: Resupply Subcontractor,1,10,,,1,,,base.main_company,,,
stock_route_jinasena_pvt_ltd_warehouse_26_deliver_in,Jinasena (Pvt) Ltd. - warehouse # 26: Deliver in 1 step (ship),1,10,,1,1,,,base.main_company,,,
stock_route_jinasena_pvt_ltd_warehouse_23_deliver_in,Jinasena (Pvt) Ltd. - warehouse # 23: Deliver in 1 step (ship),1,10,,1,1,,,base.main_company,,,
stock_route_jinasena_pvt_ltd_warehouse_23_resupply_s,Jinasena (Pvt) Ltd. - warehouse # 23: Resupply Subcontractor,1,10,,,1,,,base.main_company,,,
