id,name,active,group_propagation_option,action,sequence,company_id/id,location_dest_id/id,location_src_id/id,route_id/id,procure_method,picking_type_id/id,delay,propagate_carrier,warehouse_id/id,propagate_warehouse_id/id,auto
stock_rule_cw_cm_stock_inter_warehouse_transit_mto,CW-CM: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders,0,,seed_master_data_and_settings.warehouse_cw_cm_c1,,manual
stock_rule_mw_cm_stock_inter_warehouse_transit_mto,MW-CM: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_83,0,,seed_master_data_and_settings.warehouse_mw_cm_c1,,manual
stock_rule_ow_ek_stock_inter_warehouse_transit_mto,OW-EK: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_92,0,,seed_master_data_and_settings.warehouse_ow_ek_c1,,manual
stock_rule_mw_je_stock_inter_warehouse_transit_mto,MW-JE: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_101,0,,seed_master_data_and_settings.warehouse_sp_rc_c1,,manual
stock_rule_mw_je_stock_inter_warehouse_transit_mto_199,MW-JE: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_101,0,,seed_master_data_and_settings.warehouse_sp_rc_c1,,manual
stock_rule_ow_ek_stock_inter_warehouse_transit_mto_205,OW-EK: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_92,0,,seed_master_data_and_settings.warehouse_ow_ek_c1,,manual
stock_rule_pw_mw_stock_inter_warehouse_transit_mto,PW-MW: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_128,0,,seed_master_data_and_settings.warehouse_pw_mw_c1,,manual
stock_rule_mw_ek_stock_inter_warehouse_transit_mto,MW-EK: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_191,0,,seed_master_data_and_settings.warehouse_mw_ek_c1,,manual
stock_rule_pw_e1_stock_inter_warehouse_transit_mto,PW-E1: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_137,0,,seed_master_data_and_settings.warehouse_pw_e1_c1,,manual
stock_rule_mw_je_stock_inter_warehouse_transit_mto_236,MW-JE: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_101,0,,seed_master_data_and_settings.warehouse_sp_rc_c1,,manual
stock_rule_rp_ek_stock_inter_warehouse_transit,RP-EK: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_casting_warehouse_cw_cm_supply_product_f_105,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_146,0,,seed_master_data_and_settings.warehouse_rp_ek_c1,,manual
