id,name,active,company_id/id,partner_id/id,code,reception_steps,delivery_steps,sequence,manufacture_to_resupply,manufacture_steps,buy_to_resupply
stock_warehouse_retail_sales_counter_sp_sp_rc,Retail Sales Counter(Sp) - SP-RC,1,base.main_company,base.main_partner,SP-RC,one_step,ship_only,1,1,mrp_one_step,1
stock_warehouse_casting_warehouse_cw_cm,Casting warehouse - CW-CM,1,base.main_company,base.main_partner,CW-CM,one_step,ship_only,2,1,mrp_one_step,1
stock_warehouse_main_warehouse_mw_cm,Main warehouse - MW-CM,1,base.main_company,base.main_partner,MW-CM,one_step,ship_only,3,1,mrp_one_step,1
stock_warehouse_oils_lubricants_warehouse_ow_ek,Oils & lubricants warehouse - OW-EK,1,base.main_company,base.main_partner,OW-EK,one_step,ship_only,4,1,mrp_one_step,1
stock_warehouse_production_warehouse_pw_je,Production warehouse - PW-JE,1,base.main_company,base.main_partner,PW-JE,one_step,ship_only,6,1,mrp_one_step,
stock_warehouse_production_warehouse_pw_mw,Production warehouse - PW-MW,1,base.main_company,base.main_partner,PW-MW,one_step,ship_only,7,1,mrp_one_step,
stock_warehouse_raw_material_main_warehouse_rp_ek,Raw Material Main Warehouse - RP-EK,1,base.main_company,base.main_partner,RP-EK,one_step,ship_only,8,,mrp_one_step,1
stock_warehouse_production_warehouse_pw_e1,Production warehouse - PW-E1,1,base.main_company,base.main_partner,PW-E1,one_step,ship_only,9,1,mrp_one_step,
stock_warehouse_br_am_warehouse_for_ampara_sales_center,BR-AM - Warehouse for Ampara Sales Center,1,base.main_company,base.main_partner,BR-AM,one_step,ship_only,10,,mrp_one_step,1
stock_warehouse_main_warehouse_raw_material_for_motors_m,Main warehouse - Raw material for motors - MW-JE,1,base.main_company,base.main_partner,MW-JE,one_step,ship_only,10,1,mrp_one_step,1
stock_warehouse_production_warehouse_pw_jm,Production Warehouse - (PW-JM),1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,PW-JM,one_step,ship_only,10,1,mrp_one_step,
stock_warehouse_repairs_warehouse_rp_jm,Repairs Warehouse - (RP-JM),1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,RP-JM,one_step,ship_only,10,1,mrp_one_step,
stock_warehouse_branch_warehouse_ekala_br_ek,Branch Warehouse - Ekala(BR-EK),1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,BR-EK,one_step,ship_only,10,,mrp_one_step,
stock_warehouse_production_warehouse_pumps_pw_e1,Production warehouse - Pumps (PW-E1),1,,Jinasena_MasterData_Common.res_partner_jltd,PW-E1,one_step,ship_only,10,1,mrp_one_step,
stock_warehouse_production_warehouse_plastic_pl_ek,Production warehouse - Plastic (PL-EK),1,,Jinasena_MasterData_Common.res_partner_jltd,PL-EK,one_step,ship_only,10,1,mrp_one_step,
stock_warehouse_production_warehouse_casting_mw_jc,Production warehouse - Casting (MW-JC),1,,Jinasena_MasterData_Common.res_partner_jltd,MW-JC,one_step,ship_only,10,1,mrp_one_step,
