id,name,active,group_propagation_option,action,sequence,company_id/id,location_dest_id/id,location_src_id/id,route_id/id,procure_method,picking_type_id/id,delay,propagate_carrier,warehouse_id/id,propagate_warehouse_id/id,auto
stock_rule_cw_cm_stock_customers,CW-CM: Stock → Customers,1,propagate,pull,20,,,Jinasena_MasterData_Stock.stock_location_stock_76,Jinasena_MasterData_Stock.stock_route_casting_warehouse_cw_cm_deliver_in_1_ste,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders,0,,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,,manual
stock_rule_cw_cm_input_output,CW-CM: Input → Output,1,propagate,pull,20,,,,,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_internal_transfers,0,,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,,manual
stock_rule_cw_cm_output_customers,CW-CM: Output → Customers,1,propagate,pull,20,,,,,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders,0,,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,,manual
stock_rule_cw_cm_stock_customers_mto,CW-CM: Stock → Customers (MTO),1,propagate,pull,20,,,Jinasena_MasterData_Stock.stock_location_stock_76,,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders,0,,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,,manual
stock_rule_cw_cm_stock_production_mto,CW-CM: Stock → Production (MTO),1,propagate,pull,20,,Jinasena_MasterData_Stock.stock_location_production,Jinasena_MasterData_Stock.stock_location_stock_76,,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_manufacturing,0,,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,,manual
stock_rule_cw_cm_stock_buy,CW-CM: Stock (Buy),1,none,buy,20,,Jinasena_MasterData_Stock.stock_location_stock_76,,,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_receipts,0,,Jinasena_MasterData_Stock.stock_warehouse_casting_warehouse_cw_cm,,manual
stock_rule_mw_cm_stock_customers,MW-CM: Stock → Customers,1,propagate,pull,20,,,Jinasena_MasterData_Stock.stock_location_stock_84,Jinasena_MasterData_Stock.stock_route_main_warehouse_mw_cm_deliver_in_1_step_s,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_83,0,,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,,manual
stock_rule_mw_cm_input_output,MW-CM: Input → Output,1,propagate,pull,20,,,,,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_internal_transfers_86,0,,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,,manual
stock_rule_mw_cm_output_customers,MW-CM: Output → Customers,1,propagate,pull,20,,,,,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_83,0,,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,,manual
stock_rule_mw_cm_stock_customers_mto,MW-CM: Stock → Customers (MTO),1,propagate,pull,20,,,Jinasena_MasterData_Stock.stock_location_stock_84,,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_83,0,,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,,manual
stock_rule_mw_cm_stock_production_mto,MW-CM: Stock → Production (MTO),1,propagate,pull,20,,Jinasena_MasterData_Stock.stock_location_production,Jinasena_MasterData_Stock.stock_location_stock_116,,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_89,0,,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,,manual
stock_rule_mw_cm_stock_buy,MW-CM: Stock (Buy),1,none,buy,20,,Jinasena_MasterData_Stock.stock_location_stock_84,,,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_receipts_82,0,,Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_cm,,manual
stock_rule_ow_ek_input_output,OW-EK: Input → Output,1,propagate,pull,20,,,,,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_internal_transfers_95,0,,Jinasena_MasterData_Stock.stock_warehouse_oils_lubricants_warehouse_ow_ek,,manual
stock_rule_ow_ek_output_customers,OW-EK: Output → Customers,1,propagate,pull,20,,,,,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_92,0,,Jinasena_MasterData_Stock.stock_warehouse_oils_lubricants_warehouse_ow_ek,,manual
stock_rule_ow_ek_stock_customers_mto,OW-EK: Stock → Customers (MTO),1,propagate,pull,20,,,Jinasena_MasterData_Stock.stock_location_stock_92,,make_to_stock,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_92,0,,Jinasena_MasterData_Stock.stock_warehouse_oils_lubricants_warehouse_ow_ek,,manual
