id,name,category_id/id,factor,rounding,active,uom_type
uom_uom_pcs_390,pcs(390),uom.product_uom_categ_kgm,390.0,0.0001,1,smaller
uom_uom_pcs_300,pcs(300),uom.product_uom_categ_kgm,300.0,0.0001,1,smaller
uom_uom_pcs_275,pcs(275),uom.product_uom_categ_kgm,275.0,0.0001,1,smaller
uom_uom_pcs_270,pcs(270),uom.product_uom_categ_kgm,270.0,0.0001,1,smaller
uom_uom_pcs_250,pcs(250),uom.product_uom_categ_kgm,250.0,0.0001,1,smaller
uom_uom_pcs_220,pcs(220),uom.product_uom_categ_kgm,220.0,0.0001,1,smaller
uom_uom_pcs_200,pcs(200),uom.product_uom_categ_kgm,200.0,0.0001,1,smaller
uom_uom_pcs_180,pcs(180),uom.product_uom_categ_kgm,180.0,0.0001,1,smaller
uom_uom_pcs_165,pcs(165),uom.product_uom_categ_kgm,165.0,0.0001,1,smaller
uom_uom_pcs_146,pcs(146),uom.product_uom_categ_kgm,146.0,0.0001,1,smaller
uom_uom_pcs_145,pcs(145),uom.product_uom_categ_kgm,145.0,0.0001,1,smaller
uom_uom_pcs_143,pcs(143),uom.product_uom_categ_kgm,143.0,0.0001,1,smaller
uom_uom_pcs_140,pcs(140),uom.product_uom_categ_kgm,140.0,0.0001,1,smaller
uom_uom_pcs_135,pcs(135),uom.product_uom_categ_kgm,135.0,0.0001,1,smaller
uom_uom_pcs_130,pcs(130),uom.product_uom_categ_kgm,130.0,0.0001,1,smaller
uom_uom_pcs_125,pcs(125),uom.product_uom_categ_kgm,125.0,0.0001,1,smaller
uom_uom_pcs_100,pcs(100),uom.product_uom_categ_kgm,100.0,0.0001,1,smaller
uom_uom_pcs_55,pcs(55),uom.product_uom_categ_kgm,55.0,0.0001,1,smaller
uom_uom_pcs_46,pcs(46),uom.product_uom_categ_kgm,46.0,0.0001,1,smaller
uom_uom_pcs_45,pcs(45),uom.product_uom_categ_kgm,45.0,0.0001,1,smaller
uom_uom_pcs_43,pcs(43),uom.product_uom_categ_kgm,43.0,0.0001,1,smaller
