id,name,category_id/id,factor,rounding,active,uom_type
uom_uom_pcs_390,pcs(390),,390.0,0.0001,1,smaller
uom_uom_pcs_300,pcs(300),,300.0,0.0001,1,smaller
uom_uom_pcs_275,pcs(275),,275.0,0.0001,1,smaller
uom_uom_pcs_270,pcs(270),,270.0,0.0001,1,smaller
uom_uom_pcs_250,pcs(250),,250.0,0.0001,1,smaller
uom_uom_pcs_220,pcs(220),,220.0,0.0001,1,smaller
uom_uom_pcs_200,pcs(200),,200.0,0.0001,1,smaller
uom_uom_pcs_180,pcs(180),,180.0,0.0001,1,smaller
uom_uom_pcs_165,pcs(165),,165.0,0.0001,1,smaller
uom_uom_pcs_146,pcs(146),,146.0,0.0001,1,smaller
uom_uom_pcs_145,pcs(145),,145.0,0.0001,1,smaller
uom_uom_pcs_143,pcs(143),,143.0,0.0001,1,smaller
uom_uom_pcs_140,pcs(140),,140.0,0.0001,1,smaller
uom_uom_pcs_135,pcs(135),,135.0,0.0001,1,smaller
uom_uom_pcs_130,pcs(130),,130.0,0.0001,1,smaller
uom_uom_pcs_125,pcs(125),,125.0,0.0001,1,smaller
uom_uom_pcs_100,pcs(100),,100.0,0.0001,1,smaller
uom_uom_pcs_55,pcs(55),,55.0,0.0001,1,smaller
uom_uom_pcs_46,pcs(46),,46.0,0.0001,1,smaller
uom_uom_pcs_45,pcs(45),,45.0,0.0001,1,smaller
uom_uom_pcs_43,pcs(43),,43.0,0.0001,1,smaller
uom_uom_drp,drp,Jinasena_MasterData_Stock.uom_category_unsorted,40.0,0.01,1,smaller
uom_uom_pcs_40,pcs(40),,40.0,0.0001,1,smaller
uom_uom_pcs_40_86,pcs(40),,40.0,0.0001,1,smaller
uom_uom_pcs_39,pcs(39),,39.0,0.0001,1,smaller
uom_uom_pcs_39_85,pcs(39),,39.0,0.0001,1,smaller
uom_uom_pcs_39_91,pcs(39),,39.0,0.0001,1,smaller
uom_uom_pcs_37,pcs(37),,37.0,0.0001,1,smaller
uom_uom_pcs_37_90,pcs(37),,37.0,0.0001,1,smaller
uom_uom_pcs_35,pcs(35),,35.0,0.0001,1,smaller
uom_uom_pcs_35_89,pcs(35),,35.0,0.0001,1,smaller
uom_uom_pcs_32,pcs(32),,32.0,0.0001,1,smaller
uom_uom_pcs_32_88,pcs(32),,32.0,0.0001,1,smaller
uom_uom_pcs_31,pcs(31),,31.0,0.0001,1,smaller
uom_uom_pcs_31_87,pcs(31),,31.0,0.0001,1,smaller
uom_uom_pcs_30,pcs(30),,30.0,0.0001,1,smaller
uom_uom_pcs_25,pcs(25),,25.0,0.0001,1,smaller
uom_uom_pcs_23,pcs(23),,23.0,0.0001,1,smaller
uom_uom_pcs_22,pcs(22),,22.0,0.0001,1,smaller
uom_uom_pcs_20,pcs(20),,20.0,0.0001,1,smaller
uom_uom_pcs_18,pcs(18),,18.0,0.0001,1,smaller
uom_uom_pcs_16,pcs(16),,16.0,0.0001,1,smaller
uom_uom_pcs_15,pcs(15),,15.0,0.0001,1,smaller
uom_uom_pcs_14,pcs(14),,14.0,0.0001,1,smaller
uom_uom_pcs_10,pcs(10),,10.0,0.0001,1,smaller
uom_uom_pcs_8,pcs(8),,8.0,0.0001,1,smaller
uom_uom_m_5_8,m(5.8),,5.8,0.0001,1,smaller
uom_uom_m2,m2,Jinasena_MasterData_Stock.uom_category_area,1.0,0.0001,1,reference
uom_uom_rol,rol,,1.0,0.0001,1,bigger
uom_uom_set,set,,1.0,0.0001,1,bigger
uom_uom_bal,bal,,1.0,0.0001,1,bigger
uom_uom_tub,tub,,1.0,0.0001,1,smaller
uom_uom_rod,rod,,1.0,0.0001,1,smaller
uom_uom_prs,prs,,1.0,0.0001,1,smaller
uom_uom_pad,pad,,1.0,0.0001,1,smaller
uom_uom_can,can,,1.0,0.0001,1,smaller
uom_uom_crtg,crtg,Jinasena_MasterData_Stock.uom_category_unsorted,1.0,0.01,1,reference
uom_uom_pkt,pkt,,1.0,0.0001,1,smaller
uom_uom_kg,KG,Jinasena_MasterData_Stock.uom_category_unsorted_imported_units,1.0,0.0001,1,reference
uom_uom_tin,tin,,1.0,0.0001,1,smaller
uom_uom_sqm,sqm,,1.0,0.0001,1,smaller
uom_uom_lnk,lnk,,1.0,0.0001,1,smaller
uom_uom_pcs_40_92,pcs(40),,1.0,0.0001,1,smaller
uom_uom_m_1,m(1),,1.0,0.0001,1,smaller
uom_uom_bot,bot,,0.75,0.0001,1,smaller
uom_uom_sht,sht,,0.3362474781439139,0.0001,1,bigger
uom_uom_kg_10,kg(10),,0.1,0.0001,1,bigger
uom_uom_pkt_50,pkt(50),,0.02,0.0001,1,bigger
uom_uom_kg_130,kg(130),,0.007692307692307693,0.0001,1,bigger
uom_uom_kg_143,kg(143),,0.006993006993006993,0.0001,1,bigger
uom_uom_pkt_500,pkt(500),,0.002,0.0001,1,bigger
uom_uom_pkt_10000,pkt(10000),,0.0001,0.0001,1,bigger
